,0,1,2
649,0.54,0.43,0.03
650,0.5,0.49,0.01
651,0.34,0.58,0.08
652,0.0,0.0,1.0
653,0.56,0.39,0.05
654,0.0,0.0,1.0
655,0.21,0.44,0.35
656,0.28,0.58,0.14
657,0.59,0.41,0.0
658,0.21,0.79,0.0
659,0.28,0.59,0.13
660,0.51,0.38,0.11
661,0.0,0.0,1.0
662,0.32,0.55,0.13
663,0.76,0.21,0.03
664,0.16,0.2,0.64
665,0.2,0.38,0.42
666,0.48,0.32,0.2
667,0.01,0.0,0.99
668,0.6,0.4,0.0
669,0.37,0.6,0.03
670,0.15,0.11,0.74
671,0.13,0.83,0.04
672,0.51,0.44,0.05
673,0.09,0.16,0.75
674,0.25,0.23,0.52
675,0.51,0.39,0.1
676,0.19,0.23,0.58
677,0.07,0.02,0.91
678,0.14,0.07,0.79
679,0.51,0.47,0.02
680,0.15,0.83,0.02
681,0.54,0.33,0.13
682,0.21,0.22,0.57
683,0.63,0.37,0.0
684,0.01,0.02,0.97
685,0.0,0.0,1.0
686,0.3,0.14,0.56
687,0.0,0.0,1.0
688,0.11,0.89,0.0
689,0.59,0.41,0.0
690,0.62,0.37,0.01
691,0.55,0.43,0.02
692,0.0,0.0,1.0
693,0.03,0.0,0.97
694,0.0,0.0,1.0
695,0.32,0.14,0.54
696,0.56,0.38,0.06
697,0.25,0.73,0.02
698,0.0,0.0,1.0
699,0.18,0.67,0.15
700,0.15,0.12,0.73
701,0.58,0.42,0.0
702,0.0,0.0,1.0
703,0.11,0.85,0.04
704,0.2,0.8,0.0
705,0.86,0.13,0.01
706,0.0,0.0,1.0
707,0.72,0.27,0.01
708,0.06,0.02,0.92
709,0.34,0.14,0.52
710,0.24,0.76,0.0
711,0.0,0.0,1.0
712,0.58,0.42,0.0
713,0.06,0.2,0.74
714,0.61,0.39,0.0
715,0.15,0.08,0.77
716,0.13,0.87,0.0
717,0.01,0.0,0.99
718,0.19,0.11,0.7
719,0.18,0.79,0.03
720,0.0,0.0,1.0
721,0.09,0.89,0.02
722,0.12,0.06,0.82
723,0.65,0.35,0.0
724,0.71,0.27,0.02
725,0.54,0.45,0.01
726,0.21,0.74,0.05
727,0.0,0.0,1.0
728,0.07,0.93,0.0
729,0.0,0.0,1.0
730,0.61,0.33,0.06
731,0.05,0.01,0.94
732,0.19,0.66,0.15
733,0.0,0.0,1.0
734,0.15,0.21,0.64
735,0.0,0.0,1.0
736,0.59,0.41,0.0
737,0.08,0.18,0.74
738,0.06,0.19,0.75
739,0.3,0.52,0.18
740,0.55,0.4,0.05
741,0.16,0.74,0.1
742,0.08,0.42,0.5
743,0.04,0.96,0.0
744,0.0,0.0,1.0
745,0.37,0.46,0.17
746,0.0,0.0,1.0
747,0.08,0.18,0.74
748,0.0,0.0,1.0
749,0.0,0.0,1.0
750,0.55,0.39,0.06
751,0.4,0.33,0.27
752,0.01,0.01,0.98
753,0.39,0.43,0.18
754,0.51,0.42,0.07
755,0.6,0.4,0.0
756,0.34,0.43,0.23
757,0.0,0.0,1.0
758,0.0,0.0,1.0
759,0.16,0.73,0.11
760,0.03,0.0,0.97
761,0.57,0.42,0.01
762,0.26,0.74,0.0
763,0.48,0.43,0.09
764,0.21,0.78,0.01
765,0.31,0.69,0.0
766,0.12,0.77,0.11
767,0.51,0.41,0.08
768,0.05,0.01,0.94
769,0.46,0.4,0.14
770,0.04,0.96,0.0
771,0.07,0.13,0.8
772,0.0,0.0,1.0
773,0.0,0.0,1.0
774,0.78,0.2,0.02
775,0.1,0.89,0.01
776,0.0,0.0,1.0
777,0.56,0.44,0.0
778,0.07,0.13,0.8
779,0.0,0.0,1.0
780,0.52,0.39,0.09
781,0.63,0.37,0.0
782,0.0,0.0,1.0
783,0.72,0.27,0.01
784,0.23,0.59,0.18
785,0.22,0.75,0.03
786,0.47,0.43,0.1
787,0.0,0.0,1.0
788,0.07,0.13,0.8
789,0.18,0.71,0.11
790,0.54,0.45,0.01
791,0.0,0.0,1.0
792,0.78,0.22,0.0
793,0.0,0.0,1.0
794,0.2,0.12,0.68
795,0.0,0.0,1.0
796,0.0,0.0,1.0
797,0.3,0.61,0.09
798,0.01,0.0,0.99
799,0.08,0.17,0.75
800,0.0,0.0,1.0
801,0.0,0.0,1.0
802,0.6,0.37,0.03
803,0.0,0.0,1.0
804,0.23,0.3,0.47
805,0.09,0.87,0.04
806,0.17,0.73,0.1
807,0.04,0.95,0.01
808,0.1,0.4,0.5
809,0.52,0.38,0.1
810,0.49,0.42,0.09
811,0.6,0.4,0.0
812,0.0,0.0,1.0
813,0.0,0.0,1.0
814,0.08,0.88,0.04
815,0.2,0.73,0.07
816,0.21,0.09,0.7
817,0.64,0.36,0.0
818,0.53,0.39,0.08
819,0.0,0.0,1.0
820,0.57,0.43,0.0
821,0.3,0.7,0.0
822,0.0,0.0,1.0
823,0.64,0.28,0.08
824,0.72,0.27,0.01
825,0.0,0.0,1.0
826,0.73,0.26,0.01
827,0.0,0.0,1.0
828,0.0,0.0,1.0
829,0.6,0.39,0.01
830,0.05,0.95,0.0
831,0.15,0.77,0.08
832,0.0,0.0,1.0
833,0.47,0.27,0.26
834,0.08,0.42,0.5
835,0.44,0.51,0.05
836,0.53,0.46,0.01
837,0.2,0.72,0.08
838,0.13,0.24,0.63
839,0.77,0.19,0.04
840,0.0,0.0,1.0
841,0.33,0.48,0.19
842,0.03,0.97,0.0
843,0.57,0.42,0.01
844,0.09,0.3,0.61
845,0.0,0.0,1.0
846,0.2,0.04,0.76
847,0.63,0.35,0.02
848,0.0,0.0,1.0
849,0.22,0.66,0.12
850,0.15,0.84,0.01
851,0.0,0.0,1.0
852,0.32,0.6,0.08
853,0.1,0.04,0.86
854,0.16,0.12,0.72
855,0.14,0.85,0.01
856,0.02,0.04,0.94
857,0.33,0.43,0.24
858,0.0,0.0,1.0
859,0.17,0.74,0.09
860,0.0,0.0,1.0
861,0.07,0.13,0.8
862,0.0,0.0,1.0
863,0.55,0.36,0.09
864,0.11,0.89,0.0
865,0.07,0.13,0.8
866,0.37,0.63,0.0
867,0.05,0.24,0.71
868,0.38,0.55,0.07
869,0.52,0.39,0.09
870,0.51,0.4,0.09
871,0.67,0.33,0.0
872,0.75,0.25,0.0
873,0.17,0.22,0.61
874,0.0,0.0,1.0
875,0.67,0.33,0.0
876,0.51,0.46,0.03
877,0.25,0.21,0.54
878,0.0,0.0,1.0
879,0.0,0.0,1.0
880,0.43,0.55,0.02
881,0.17,0.67,0.16
882,0.21,0.12,0.67
883,0.37,0.47,0.16
884,0.52,0.37,0.11
885,0.06,0.23,0.71
886,0.0,0.0,1.0
887,0.24,0.76,0.0
888,0.05,0.01,0.94
889,0.63,0.36,0.01
890,0.53,0.46,0.01
891,0.0,0.0,1.0
892,0.0,0.0,1.0
893,0.24,0.19,0.57
894,0.65,0.34,0.01
895,0.0,0.0,1.0
896,0.65,0.35,0.0
897,0.56,0.43,0.01
898,0.0,0.0,1.0
899,0.0,0.0,1.0
900,0.33,0.65,0.02
901,0.14,0.85,0.01
902,0.76,0.24,0.0
903,0.0,0.0,1.0
904,0.0,0.0,1.0
905,0.49,0.37,0.14
906,0.0,0.0,1.0
907,0.6,0.4,0.0
908,0.56,0.44,0.0
909,0.53,0.42,0.05
910,0.16,0.33,0.51
911,0.15,0.85,0.0
912,0.06,0.07,0.87
913,0.15,0.78,0.07
914,0.05,0.95,0.0
915,0.17,0.78,0.05
916,0.65,0.35,0.0
917,0.0,0.0,1.0
918,0.21,0.78,0.01
919,0.35,0.59,0.06
920,0.56,0.42,0.02
921,0.3,0.69,0.01
922,0.45,0.5,0.05
923,0.0,0.0,1.0
924,0.44,0.5,0.06
925,0.45,0.55,0.0
926,0.0,0.0,1.0
927,0.21,0.76,0.03
928,0.0,0.0,1.0
929,0.13,0.76,0.11
930,0.17,0.6,0.23
931,0.0,0.0,1.0
932,0.42,0.39,0.19
933,0.0,0.0,1.0
934,0.03,0.0,0.97
935,0.37,0.5,0.13
936,0.63,0.34,0.03
937,0.0,0.0,1.0
938,0.44,0.55,0.01
939,0.34,0.48,0.18
940,0.0,0.0,1.0
941,0.46,0.49,0.05
942,0.36,0.61,0.03
943,0.08,0.35,0.57
944,0.4,0.33,0.27
945,0.34,0.59,0.07
946,0.08,0.19,0.73
947,0.0,0.0,1.0
948,0.62,0.37,0.01
949,0.01,0.05,0.94
950,0.0,0.0,1.0
951,0.6,0.37,0.03
952,0.0,0.0,1.0
953,0.27,0.6,0.13
954,0.06,0.94,0.0
955,0.44,0.56,0.0
956,0.64,0.36,0.0
957,0.08,0.02,0.9
958,0.0,0.0,1.0
959,0.0,0.0,1.0
960,0.52,0.47,0.01
961,0.05,0.09,0.86
962,0.14,0.13,0.73
963,0.0,0.0,1.0
964,0.27,0.46,0.27
965,0.58,0.42,0.0
966,0.0,0.0,1.0
967,0.14,0.16,0.7
968,0.2,0.79,0.01
969,0.21,0.79,0.0
970,0.0,0.0,1.0
971,0.4,0.57,0.03
972,0.0,0.0,1.0
