Wavelength,Coastal Aerosol,Blue,Green,Red,NIR,Pan,Cirrus,SWIR1,SWIR2
408,9.47394E-08,9.80707E-07,4.32424E-07,2.65419E-07,2.48883E-07,7.63554E-08,0.000E+00,0.000E+00,0.000E+00
409,1.2907E-07,1.9397E-06,1.14418E-06,1.37216E-06,5.35367E-07,1.50222E-07,0.000E+00,0.000E+00,0.000E+00
410,1.71679E-07,3.67284E-06,6.66401E-07,3.01753E-06,1.11285E-06,3.67675E-07,0.000E+00,0.000E+00,0.000E+00
411,2.33542E-07,6.40458E-06,8.51046E-08,3.67635E-06,1.64061E-06,8.24669E-07,0.000E+00,0.000E+00,0.000E+00
412,3.39634E-07,1.00074E-05,3.61381E-08,4.15316E-06,1.31243E-06,1.24694E-06,0.000E+00,0.000E+00,0.000E+00
413,4.91017E-07,1.37429E-05,1.10108E-08,3.84E-06,4.41597E-07,1.23448E-06,0.000E+00,0.000E+00,0.000E+00
414,7.46818E-07,1.67987E-05,2.84886E-08,1.80473E-06,2.73706E-07,9.72606E-07,0.000E+00,0.000E+00,0.000E+00
415,1.09411E-06,1.84438E-05,2.82035E-08,4.25552E-07,2.6748E-07,7.93732E-07,0.000E+00,0.000E+00,0.000E+00
416,1.60196E-06,1.82366E-05,3.45831E-08,2.15335E-07,1.52967E-07,7.58231E-07,0.000E+00,0.000E+00,0.000E+00
417,2.36077E-06,1.69006E-05,1.51578E-08,2.59029E-07,6.81766E-08,7.72879E-07,0.000E+00,0.000E+00,0.000E+00
418,3.41952E-06,1.52255E-05,3.39002E-08,2.06244E-07,7.31399E-08,8.83824E-07,0.000E+00,0.000E+00,0.000E+00
419,4.95711E-06,1.37231E-05,6.62905E-08,9.26114E-08,2.59002E-07,1.08836E-06,0.000E+00,0.000E+00,0.000E+00
420,7.20905E-06,1.21723E-05,3.29706E-08,3.37998E-08,6.58842E-07,1.31683E-06,0.000E+00,0.000E+00,0.000E+00
421,1.11268E-05,1.10319E-05,6.22959E-08,2.06773E-08,1.30585E-06,1.46842E-06,0.000E+00,0.000E+00,0.000E+00
422,1.79084E-05,1.01639E-05,1.34668E-07,1.70817E-08,3.34954E-06,1.44927E-06,0.000E+00,0.000E+00,0.000E+00
423,3.08732E-05,9.79278E-06,6.86902E-07,3.39764E-08,6.41327E-06,1.30836E-06,0.000E+00,0.000E+00,0.000E+00
424,5.4702E-05,9.6534E-06,2.11072E-06,4.24837E-08,7.39638E-06,1.25494E-06,0.000E+00,0.000E+00,0.000E+00
425,0.000101538,9.89056E-06,2.41559E-06,3.29723E-08,6.79164E-06,1.28749E-06,0.000E+00,0.000E+00,0.000E+00
426,0.000189677,1.02206E-05,1.36282E-06,3.15291E-08,1.95228E-06,1.38714E-06,0.000E+00,0.000E+00,0.000E+00
427,0.000367981,1.11274E-05,2.50171E-06,5.24192E-08,5.15214E-07,1.63126E-06,0.000E+00,0.000E+00,0.000E+00
428,0.000721893,1.22867E-05,2.61384E-06,3.65671E-08,5.8155E-07,1.88937E-06,0.000E+00,0.000E+00,0.000E+00
429,0.002057971,1.39911E-05,1.25759E-06,3.13165E-08,5.50486E-07,2.19119E-06,0.000E+00,0.000E+00,0.000E+00
430,0.003605952,1.62032E-05,6.14849E-07,5.27722E-08,5.91868E-07,2.29229E-06,0.000E+00,0.000E+00,0.000E+00
431,0.008770479,1.91373E-05,4.93097E-07,9.08989E-08,4.46744E-07,2.1159E-06,0.000E+00,0.000E+00,0.000E+00
432,0.022244601,2.33057E-05,5.82552E-07,1.29659E-07,3.25805E-07,1.79431E-06,0.000E+00,0.000E+00,0.000E+00
433,0.079823367,2.9035E-05,7.82614E-07,1.6559E-07,3.96741E-07,1.44635E-06,0.000E+00,0.000E+00,0.000E+00
434,0.234204218,3.68232E-05,1.18122E-06,1.36572E-07,3.51931E-07,1.12673E-06,0.000E+00,0.000E+00,0.000E+00
435,0.49647373,4.79811E-05,1.97598E-06,1.19905E-07,3.93613E-07,9.35451E-07,0.000E+00,0.000E+00,0.000E+00
436,0.765423536,6.41008E-05,3.15178E-06,1.04816E-07,2.63906E-07,8.56652E-07,0.000E+00,0.000E+00,0.000E+00
437,0.937578499,8.79017E-05,3.96617E-06,9.43143E-08,8.52372E-08,7.88789E-07,0.000E+00,0.000E+00,0.000E+00
438,0.976326704,0.000122882,3.60188E-06,1.75018E-07,5.49885E-08,7.77644E-07,0.000E+00,0.000E+00,0.000E+00
439,0.986418545,0.000177559,2.79732E-06,3.17082E-07,1.02564E-07,8.60893E-07,0.000E+00,0.000E+00,0.000E+00
440,0.994738102,0.000264652,2.3321E-06,5.99512E-07,3.17426E-07,1.00266E-06,0.000E+00,0.000E+00,0.000E+00
441,0.988396645,0.000406089,2.19786E-06,1.33832E-06,1.04555E-06,1.29947E-06,0.000E+00,0.000E+00,0.000E+00
442,0.970891476,0.000647574,2.23468E-06,3.95901E-06,2.03271E-06,1.73797E-06,0.000E+00,0.000E+00,0.000E+00
443,0.967402816,0.001062705,2.55657E-06,1.14793E-05,3.52972E-06,2.50819E-06,0.000E+00,0.000E+00,0.000E+00
444,0.975955009,0.001808338,2.97437E-06,2.70688E-05,7.42863E-06,3.84902E-06,0.000E+00,0.000E+00,0.000E+00
445,0.982739329,0.00423224,3.33592E-06,4.80508E-05,9.49018E-06,5.94861E-06,0.000E+00,0.000E+00,0.000E+00
446,0.98891443,0.007338091,3.47442E-06,6.82614E-05,9.61897E-06,7.87617E-06,0.000E+00,0.000E+00,0.000E+00
447,1,0.013206497,3.28582E-06,7.48413E-05,1.29475E-05,8.72018E-06,0.000E+00,0.000E+00,0.000E+00
448,0.98661834,0.027380865,2.84158E-06,5.80918E-05,1.10107E-05,8.04394E-06,0.000E+00,0.000E+00,0.000E+00
449,0.873904884,0.061400488,2.38474E-06,3.54446E-05,5.49059E-06,6.41278E-06,0.000E+00,0.000E+00,0.000E+00
450,0.640637994,0.128100455,2.03393E-06,2.10615E-05,4.0121E-06,4.98347E-06,0.000E+00,0.000E+00,0.000E+00
